6129, 5.8
10431, 4.8
26793, 5.1
29883, 4.5
29920, 6.1
29931, 7.5
29932, 5.6
29968, 5.8
30033, 7.5
30034, 5.6
30036, 4.4
30118, 7.5
30119, 5.6
30170, 6.3
30198, 7.5
30199, 5.6
30287, 7.5
30288, 5.6
30393, 5.8
30411, 7.5
30412, 5.6
30507, 5.6
30508, 7.6
30523, 4.3
30637, 7.4
30638, 5.6
30748, 7.4
30749, 5.6
30772, 4.5
30855, 4.5
30859, 7.5
30860, 5.6
30952, 4.8
30983, 5.6
30997, 5.4
31073, 7.5
31074, 5.6
31180, 7.6
31181, 5.6
31232, 4.4
31252, 5.8
31288, 7.6
31289, 5.6
31390, 7.5
31391, 5.6
31465, 5.6
31466, 7.6
31566, 5.6
31628, 4.5
31643, 5.6
31644, 7.4
31735, 5.6
31736, 7.4
31790, 4.3
31846, 7.5
31847, 5.6
31932, 7.5
31933, 5.6
32010, 5.7
32013, 7.5
32014, 5.6
32072, 8.3
32080, 5.9
32110, 5.6
32111, 7.5
32164, 4.5
32207, 7.4
32208, 5.6
32264, 4.7
32348, 5.6
32349, 7.5
32431, 4.9
32472, 6.2
32488, 5.6
32489, 7.4
32569, 5.9
32624, 5.6
32779, 7.4
32780, 5.6
32917, 5.4
32919, 5.6
32927, 5.6
32928, 7.5
33059, 7.5
33060, 5.6
33117, 5.3
33135, 5.7
33196, 7.5
33197, 5.6
33231, 7.6
33338, 5.6
33339, 7.6
33349, 9.3
33405, 7.8
33484, 5.6
33485, 7.5
33489, 5.8
33615, 7.6
33616, 5.6
33753, 4.4
33761, 5.8
33774, 5.6
33839, 6.1
33897, 5.6
33898, 7.4
33945, 7.6
33946, 7.6
33947, 5.6
33948, 5.6
34026, 4.2
34055, 7.4
34056, 5.6
34229, 5.6
34399, 5.6
34400, 7.6
34617, 5.6
34618, 7.4
34797, 9.5
34805, 5.6
34806, 7.5
35029, 7.4
35030, 5.6
35151, 7.6
35154, 5.6
35155, 7.6
35156, 5.6
35202, 7.5
35203, 5.6
35428, 5.6
35429, 7.4
35578, 7.6
35579, 5.6
35765, 5.6
35766, 7.6
35768, 5.4
35946, 7.4
35947, 5.6
35962, 7.5
36071, 5.6
36072, 7.6
36088, 6.1
36296, 7.5
36297, 5.6
36464, 5.6
36465, 7.6
36516, 5.8
36533, 7.7
36590, 5.9
36684, 5.6
36685, 7.6
36693, 4.4
36830, 5.6
36831, 7.6
36840, 5.9
37029, 7.4
37030, 5.6
37097, 4.3
37160, 4.2
37161, 5.5
37176, 7.6
37203, 5.6
37304, 4.5
37350, 4.4
37391, 7.5
37392, 5.6
37563, 7.5
37564, 5.6
37675, 4.4
37700, 7.5
37701, 5.6
37784, 5.9
37903, 5.6
37904, 7.4
38053, 5.6
38054, 7.6
38239, 5.6
38269, 5.6
38270, 7.5
38424, 7.5
38425, 5.6
38449, 7.8
38622, 7.5
38623, 5.6
38738, 6.0
38766, 6.0
38784, 5.6
38785, 7.4
38827, 4.4
38968, 7.6
38969, 5.6
39052, 4.3
39131, 7.6
39132, 5.6
39248, 7.5
39249, 5.6
39412, 7.5
39413, 5.6
39420, 6.1
39523, 5.6
39524, 7.5
39615, 4.5
39667, 7.5
39668, 5.6
39730, 4.4
39783, 5.6
39784, 7.5
39857, 7.5
39858, 5.6
39943, 5.6
39944, 7.6
40040, 5.6
40041, 7.5
40078, 4.3
